Year,Trial,YearTrial,Treatment,ID,SixDayMass
2023,2,20232,Top,59,0.0078
2023,2,20232,Top,45,0.0141
2023,2,20232,Top,31,0.0157
2024,1,20241,Top,27,0.0158
2023,2,20232,Top,48,0.0178
2023,2,20232,Top,7,0.0225
2023,2,20232,Top,34,0.0254
2023,2,20232,Top,23,0.0266
2023,2,20232,Top,41,0.0267
2024,1,20241,Top,47,0.0279
2023,2,20232,Top,39,0.0281
2023,2,20232,Top,37,0.0315
2023,2,20232,Top,44,0.0322
2023,2,20232,Top,9,0.034
2023,2,20232,Top,5,0.0418
2023,2,20232,Top,24,0.0421
2023,2,20232,Top,25,0.043
2024,1,20241,Top,11,0.0435
2024,2,20242,Top,19,0.0457
2023,2,20232,Top,21,0.046
2023,2,20232,Top,60,0.0461
2023,2,20232,Top,46,0.047
2023,2,20232,Top,22,0.0471
2023,2,20232,Top,8,0.0489
2023,2,20232,Top,17,0.0527
2023,2,20232,Top,49,0.053
2023,2,20232,Top,6,0.0533
2023,2,20232,Top,19,0.0545
2024,1,20241,Top,28,0.0552
2023,2,20232,Top,57,0.056
2023,2,20232,Top,33,0.0565
2024,1,20241,Top,7,0.0574
2024,1,20241,Top,33,0.0577
2024,2,20242,Top,20,0.0622
2024,2,20242,Top,47,0.0627
2023,2,20232,Top,3,0.0629
2023,2,20232,Top,40,0.0629
2024,2,20242,Top,44,0.063
2024,2,20242,Top,38,0.0632
2024,1,20241,Top,5,0.0634
2024,1,20241,Top,23,0.0651
2024,2,20242,Top,16,0.0652
2024,1,20241,Top,39,0.0656
2024,2,20242,Top,12,0.0679
2023,2,20232,Top,1,0.0685
2024,1,20241,Top,30,0.0687
2023,2,20232,Top,28,0.0691
2024,1,20241,Top,34,0.0725
2024,2,20242,Top,13,0.0758
2023,2,20232,Top,56,0.0764
2024,2,20242,Top,6,0.0766
2023,2,20232,Top,51,0.0769
2024,1,20241,Top,13,0.0773
2024,2,20242,Top,37,0.0813
2024,1,20241,Top,35,0.0816
2024,1,20241,Top,36,0.0824
2024,1,20241,Top,24,0.0855
2023,2,20232,Top,27,0.0887
2024,2,20242,Top,11,0.0888
2024,2,20242,Top,36,0.0911
2024,2,20242,Top,14,0.0912
2024,1,20241,Top,43,0.0941
2024,2,20242,Top,1,0.0944
2024,1,20241,Top,21,0.0961
2023,2,20232,Top,15,0.0979
2024,2,20242,Top,26,0.1005
2024,2,20242,Top,31,0.1005
2024,2,20242,Top,42,0.1006
2024,2,20242,Top,56,0.1017
2024,1,20241,Top,3,0.1023
2024,2,20242,Top,25,0.1043
2024,2,20242,Top,18,0.1085
2024,2,20242,Top,43,0.1112
2024,2,20242,Top,28,0.112
2024,2,20242,Top,35,0.1122
2024,2,20242,Top,21,0.1162
2024,1,20241,Top,31,0.1166
2024,2,20242,Top,7,0.1167
2024,2,20242,Top,48,0.1169
2024,1,20241,Top,38,0.1192
2024,2,20242,Top,54,0.1228
2024,1,20241,Top,32,0.1242
2024,1,20241,Top,56,0.125
2024,1,20241,Top,20,0.1259
2024,1,20241,Top,12,0.126
2024,2,20242,Top,8,0.1261
2024,1,20241,Top,53,0.1278
2024,2,20242,Top,53,0.1312
2024,2,20242,Top,55,0.1334
2024,2,20242,Top,3,0.1389
2024,2,20242,Top,51,0.1397
2024,1,20241,Top,14,0.1413
2024,2,20242,Top,50,0.1422
2024,2,20242,Top,17,0.1438
2024,2,20242,Top,23,0.1452
2024,2,20242,Top,10,0.146
2024,2,20242,Top,57,0.1489
2024,1,20241,Top,1,0.1508
2024,2,20242,Top,59,0.1547
2024,2,20242,Top,41,0.1555
2024,1,20241,Top,8,0.1581
2024,2,20242,Top,27,0.1606
2024,2,20242,Top,58,0.1628
2024,2,20242,Top,9,0.1719
2024,1,20241,Top,59,0.1759
2024,1,20241,Top,18,0.1801
2024,2,20242,Top,60,0.1809
2024,2,20242,Top,30,0.1853
2024,2,20242,Top,24,0.1861
2024,1,20241,Top,54,0.1862
2024,2,20242,Top,15,0.1892
2024,2,20242,Top,22,0.1909
2024,2,20242,Top,2,0.1916
2024,1,20241,Top,40,0.1966
2024,2,20242,Top,4,0.2021
2024,1,20241,Top,29,0.2074
2024,2,20242,Top,45,0.2162
2024,1,20241,Top,57,0.2178
2024,2,20242,Top,5,0.2214
2024,2,20242,Top,52,0.2245
2024,2,20242,Top,39,0.2342
2024,1,20241,Top,45,0.2344
2024,1,20241,Top,55,0.2357
2024,1,20241,Top,51,0.2358
2024,2,20242,Top,40,0.2361
2024,1,20241,Top,17,0.2367
