Year,Trial,YearTrial,Treatment,ID,Mass,Stage
2024,2,20242,Top,47,0.518,Pupa
2024,2,20242,Top,36,0.6093,Pupa
2023,2,20232,Top,25,0.63,Pupa
2024,2,20242,Top,55,0.7021,Pupa
2024,2,20242,Top,44,0.7668,Pupa
2024,2,20242,Top,33,0.7927,Pupa
2024,2,20242,Top,22,0.822,Pupa
2024,2,20242,Top,16,0.8471,Pupa
2024,2,20242,Top,45,0.8506,Pupa
2024,2,20242,Top,3,0.8707,Pupa
2024,2,20242,Top,14,0.8713,Pupa
2024,1,20241,Top,30,0.8727,Pupa
2024,1,20241,Top,28,0.8804,Pupa
2024,1,20241,Top,24,0.8855,Pupa
2024,1,20241,Top,11,0.8869,Pupa
2024,1,20241,Top,18,0.9217,Pupa
2023,1,20231,Top,37,0.9256,Pupa
2024,1,20241,Top,23,0.9392,Pupa
2024,2,20242,Top,37,0.9402,Pupa
2024,1,20241,Top,52,0.9537,Pupa
2024,1,20241,Top,7,0.9542,Pupa
2024,2,20242,Top,38,0.9578,Pupa
2024,2,20242,Top,21,0.9641,Pupa
2024,1,20241,Top,34,0.9659,Pupa
2024,2,20242,Top,8,0.971,Pupa
2024,2,20242,Top,20,0.9719,Pupa
2024,2,20242,Top,35,0.9753,Pupa
2024,1,20241,Top,17,0.9757,Pupa
2024,2,20242,Top,25,0.9767,Pupa
2024,1,20241,Top,59,0.9794,Pupa
2023,1,20231,Top,38,0.9873,Pupa
2024,2,20242,Top,56,0.9881,Pupa
2024,2,20242,Top,58,0.9892,Pupa
2024,2,20242,Top,28,0.9907,Pupa
2023,1,20231,Top,15,0.9922,Pupa
2024,1,20241,Top,29,0.9945,Pupa
2024,2,20242,Top,31,0.9954,Pupa
2023,2,20232,Top,7,1.0021,Pupa
2023,2,20232,Top,51,1.0038,Pupa
2024,1,20241,Top,32,1.0043,Pupa
2024,1,20241,Top,5,1.0064,Pupa
2023,1,20231,Top,18,1.0092,Pupa
2024,1,20241,Top,53,1.0097,Pupa
2024,2,20242,Top,34,1.0107,Pupa
2024,2,20242,Top,54,1.0149,Pupa
2024,2,20242,Top,46,1.0156,Pupa
2024,2,20242,Top,12,1.0157,Pupa
2024,1,20241,Top,51,1.016,Pupa
2024,1,20241,Top,6,1.0163,Pupa
2024,1,20241,Top,56,1.0207,Pupa
2024,1,20241,Top,8,1.0246,Pupa
2024,1,20241,Top,38,1.0252,Pupa
2024,2,20242,Top,40,1.0323,Pupa
2024,2,20242,Top,7,1.0385,Pupa
2024,2,20242,Top,39,1.0386,Pupa
2024,2,20242,Top,48,1.0413,Pupa
2023,1,20231,Top,23,1.0434,Pupa
2024,1,20241,Top,21,1.0434,Pupa
2024,2,20242,Top,15,1.0509,Pupa
2024,2,20242,Top,52,1.0517,Pupa
2024,2,20242,Top,29,1.0528,Pupa
2023,2,20232,Top,60,1.0558,Pupa
2024,1,20241,Top,1,1.0594,Pupa
2023,1,20231,Top,50,1.0597,Pupa
