Year,Trial,YearTrial,Treatment,ID,PupalMass
2024,2,20242,Top,47,0.518
2024,2,20242,Top,36,0.6093
2023,2,20232,Top,25,0.63
2024,2,20242,Top,55,0.7021
2024,2,20242,Top,44,0.7668
2024,2,20242,Top,33,0.7927
2024,2,20242,Top,22,0.822
2024,2,20242,Top,16,0.8471
2024,2,20242,Top,45,0.8506
2024,2,20242,Top,3,0.8707
2024,2,20242,Top,14,0.8713
2024,1,20241,Top,30,0.8727
2024,1,20241,Top,28,0.8804
2024,1,20241,Top,24,0.8855
2024,1,20241,Top,11,0.8869
2024,1,20241,Top,18,0.9217
2023,1,20231,Top,37,0.9256
2024,1,20241,Top,23,0.9392
2024,2,20242,Top,37,0.9402
2024,1,20241,Top,52,0.9537
2024,1,20241,Top,7,0.9542
2024,2,20242,Top,38,0.9578
2024,2,20242,Top,21,0.9641
2024,1,20241,Top,34,0.9659
2024,2,20242,Top,8,0.971
2024,2,20242,Top,20,0.9719
2024,2,20242,Top,35,0.9753
2024,1,20241,Top,17,0.9757
2024,2,20242,Top,25,0.9767
2024,1,20241,Top,59,0.9794
2023,1,20231,Top,38,0.9873
2024,2,20242,Top,56,0.9881
2024,2,20242,Top,58,0.9892
2024,2,20242,Top,28,0.9907
2023,1,20231,Top,15,0.9922
2024,1,20241,Top,29,0.9945
2024,2,20242,Top,31,0.9954
2023,2,20232,Top,7,1.0021
2023,2,20232,Top,51,1.0038
2024,1,20241,Top,32,1.0043
2024,1,20241,Top,5,1.0064
2023,1,20231,Top,18,1.0092
2024,1,20241,Top,53,1.0097
2024,2,20242,Top,34,1.0107
2024,2,20242,Top,54,1.0149
2024,2,20242,Top,46,1.0156
2024,2,20242,Top,12,1.0157
2024,1,20241,Top,51,1.016
2024,1,20241,Top,6,1.0163
2024,1,20241,Top,56,1.0207
2024,1,20241,Top,8,1.0246
2024,1,20241,Top,38,1.0252
2024,2,20242,Top,40,1.0323
2024,2,20242,Top,7,1.0385
2024,2,20242,Top,39,1.0386
2024,2,20242,Top,48,1.0413
2023,1,20231,Top,23,1.0434
2024,1,20241,Top,21,1.0434
2024,2,20242,Top,15,1.0509
2024,2,20242,Top,52,1.0517
2024,2,20242,Top,29,1.0528
2023,2,20232,Top,60,1.0558
2024,1,20241,Top,1,1.0594
2023,1,20231,Top,50,1.0597
2024,2,20242,Top,50,1.0606
2024,2,20242,Top,18,1.063
2024,1,20241,Top,2,1.0762
2024,2,20242,Top,60,1.0784
2023,1,20231,Top,7,1.08
2024,1,20241,Top,43,1.0801
2024,2,20242,Top,49,1.0851
2024,2,20242,Top,30,1.0914
2024,1,20241,Top,57,1.0933
2023,2,20232,Top,33,1.0937
2023,1,20231,Top,40,1.0953
2024,2,20242,Top,23,1.1
2024,1,20241,Top,13,1.1034
2023,1,20231,Top,48,1.1052
2024,1,20241,Top,45,1.1064
2023,1,20231,Top,21,1.1087
2023,1,20231,Top,60,1.1091
2023,2,20232,Top,48,1.1114
2024,1,20241,Top,60,1.1117
2024,2,20242,Top,27,1.1133
2024,2,20242,Top,53,1.1154
2024,1,20241,Top,31,1.1171
2024,1,20241,Top,39,1.1252
2024,2,20242,Top,41,1.1266
2023,1,20231,Top,17,1.1281
2024,2,20242,Top,5,1.1284
2023,2,20232,Top,6,1.1311
2024,2,20242,Top,26,1.132
2024,2,20242,Top,10,1.1358
2023,1,20231,Top,57,1.1408
2023,1,20231,Top,32,1.1435
2024,2,20242,Top,51,1.1544
2024,2,20242,Top,42,1.1588
2024,1,20241,Top,20,1.162
2023,1,20231,Top,46,1.1635
2023,1,20231,Top,54,1.1776
2024,2,20242,Top,13,1.1845
2024,1,20241,Top,55,1.1853
2024,1,20241,Top,36,1.1866
2024,1,20241,Top,14,1.1987
2023,2,20232,Top,17,1.1991
2023,1,20231,Top,56,1.2044
2023,1,20231,Top,53,1.2165
2024,2,20242,Top,59,1.2209
2023,1,20231,Top,4,1.2221
2023,2,20232,Top,9,1.2324
2023,1,20231,Top,34,1.2391
2023,1,20231,Top,28,1.2486
2023,1,20231,Top,1,1.2515
2023,1,20231,Top,47,1.2548
2024,2,20242,Top,57,1.2667
2024,1,20241,Top,54,1.2679
2023,1,20231,Top,11,1.2681
2023,1,20231,Top,45,1.2721
2023,2,20232,Top,19,1.2737
2023,1,20231,Top,58,1.278
2023,1,20231,Top,10,1.282
2023,1,20231,Top,24,1.2837
2023,2,20232,Top,27,1.288
2023,1,20231,Top,41,1.2956
2023,1,20231,Top,52,1.296
2023,1,20231,Top,51,1.2962
2023,1,20231,Top,33,1.2982
2023,1,20231,Top,59,1.3039
2023,1,20231,Top,31,1.3052
2023,1,20231,Top,44,1.3054
2023,2,20232,Top,8,1.3082
2023,2,20232,Top,40,1.3089
2023,1,20231,Top,30,1.3096
2024,1,20241,Top,33,1.3142
2023,1,20231,Top,25,1.3196
2024,2,20242,Top,24,1.3207
2023,2,20232,Top,21,1.3252
2023,1,20231,Top,49,1.3405
2023,1,20231,Top,19,1.3452
2023,2,20232,Top,56,1.3455
2023,1,20231,Top,36,1.3468
2023,2,20232,Top,22,1.3475
2023,2,20232,Top,3,1.4036
2023,1,20231,Top,16,1.4207
2023,2,20232,Top,28,1.4338
2023,2,20232,Top,15,1.481
2024,1,20241,Bottom,7,0.5436
2024,1,20241,Bottom,13,0.6049
2024,1,20241,Bottom,8,0.8107
2024,2,20242,Bottom,4,0.8135
2024,2,20242,Bottom,38,0.8239
2023,2,20232,Bottom,58,0.8519
2023,1,20231,Bottom,59,0.8614
2024,1,20241,Bottom,10,0.8693
2024,2,20242,Bottom,14,0.8732
2024,1,20241,Bottom,1,0.8799
2024,2,20242,Bottom,10,0.8848
2024,2,20242,Bottom,47,0.8851
2024,1,20241,Bottom,45,0.8907
2024,2,20242,Bottom,6,0.9012
2024,2,20242,Bottom,50,0.9061
2024,2,20242,Bottom,59,0.9193
2024,2,20242,Bottom,46,0.928
2023,1,20231,Bottom,33,0.9338
2023,1,20231,Bottom,55,0.9354
2024,1,20241,Bottom,11,0.9374
2024,1,20241,Bottom,39,0.9383
2024,2,20242,Bottom,16,0.9455
2024,2,20242,Bottom,29,0.956
2024,2,20242,Bottom,31,0.9563
2023,1,20231,Bottom,18,0.959
2024,2,20242,Bottom,33,0.9601
2024,1,20241,Bottom,46,0.9613
2024,1,20241,Bottom,41,0.9647
2024,1,20241,Bottom,9,0.9673
2024,1,20241,Bottom,19,0.9693
2024,1,20241,Bottom,16,0.9726
2023,1,20231,Bottom,53,0.9855
2023,1,20231,Bottom,49,0.9895
2023,1,20231,Bottom,52,0.9956
2024,2,20242,Bottom,41,0.9963
2023,1,20231,Bottom,36,0.9971
2024,2,20242,Bottom,24,0.9972
2024,2,20242,Bottom,44,0.9981
2024,1,20241,Bottom,52,0.9996
2023,1,20231,Bottom,24,1.0011
2023,1,20231,Bottom,5,1.0068
2023,1,20231,Bottom,50,1.0135
2024,2,20242,Bottom,48,1.016
2024,1,20241,Bottom,30,1.0166
2024,2,20242,Bottom,60,1.0214
2024,2,20242,Bottom,56,1.024
2024,1,20241,Bottom,58,1.0266
2023,2,20232,Bottom,56,1.0267
2024,2,20242,Bottom,17,1.0279
2024,2,20242,Bottom,54,1.0292
2024,2,20242,Bottom,23,1.0326
2023,2,20232,Bottom,14,1.0351
2023,1,20231,Bottom,60,1.0358
2023,2,20232,Bottom,40,1.039
2024,1,20241,Bottom,29,1.0402
2024,2,20242,Bottom,51,1.043
2024,2,20242,Bottom,7,1.0452
2024,1,20241,Bottom,55,1.0454
2024,2,20242,Bottom,42,1.0461
2024,2,20242,Bottom,40,1.0534
2023,1,20231,Bottom,56,1.0565
2023,1,20231,Bottom,3,1.0573
2023,1,20231,Bottom,58,1.0606
2024,2,20242,Bottom,15,1.061
2023,1,20231,Bottom,26,1.0613
2023,1,20231,Bottom,6,1.0682
2024,1,20241,Bottom,40,1.0689
2023,1,20231,Bottom,23,1.071
2023,2,20232,Bottom,37,1.0727
2024,1,20241,Bottom,51,1.0741
2024,2,20242,Bottom,58,1.075
2024,2,20242,Bottom,28,1.079
2024,1,20241,Bottom,2,1.091
2024,2,20242,Bottom,30,1.0966
2023,1,20231,Bottom,28,1.0981
2023,1,20231,Bottom,25,1.0994
2024,2,20242,Bottom,34,1.0995
2024,2,20242,Bottom,36,1.1025
2024,2,20242,Bottom,11,1.1132
2024,2,20242,Bottom,27,1.1145
2024,2,20242,Bottom,3,1.1162
2024,2,20242,Bottom,37,1.1175
2024,1,20241,Bottom,48,1.1192
2023,1,20231,Bottom,42,1.1206
2024,1,20241,Bottom,32,1.1231
2023,2,20232,Bottom,13,1.124
2024,1,20241,Bottom,6,1.1343
2024,1,20241,Bottom,14,1.1364
2024,1,20241,Bottom,50,1.1508
2023,2,20232,Bottom,54,1.1525
2024,2,20242,Bottom,12,1.1526
2024,1,20241,Bottom,37,1.1551
2023,2,20232,Bottom,44,1.1641
2024,1,20241,Bottom,60,1.1676
2024,1,20241,Bottom,49,1.1731
2024,2,20242,Bottom,49,1.1742
2023,1,20231,Bottom,44,1.1801
2024,2,20242,Bottom,9,1.1809
2023,1,20231,Bottom,40,1.1813
2023,2,20232,Bottom,17,1.1977
2023,1,20231,Bottom,30,1.1983
2023,1,20231,Bottom,37,1.2027
2024,2,20242,Bottom,55,1.2073
2023,1,20231,Bottom,31,1.2123
2023,2,20232,Bottom,33,1.2237
2023,1,20231,Bottom,39,1.2387
2023,2,20232,Bottom,59,1.2435
2024,1,20241,Bottom,33,1.2815
2023,1,20231,Bottom,21,1.3005
2023,1,20231,Bottom,51,1.3036
2023,2,20232,Bottom,29,1.3494
2023,2,20232,Bottom,5,1.3511
2023,2,20232,Bottom,35,1.3571
2023,1,20231,Bottom,54,1.3589
2023,2,20232,Bottom,43,1.5155
2023,1,20231,Bottom,41,1.526
