Student,Date,Trial,ID,Lifestage,Treatment,Leaf,AreaConsumed,BiomassConsumed
Ashley,7/26/2023,6,22,Neonate,Choice,Top,0,0
Ashley,7/26/2023,6,27,Neonate,Choice,Top,0,0
Kevin,9/27/19,4,9,Neonate,Choice,Top,0,0
Kevin,9/27/19,4,17,Neonate,Choice,Top,0,0
Kevin,9/27/19,1,13,Neonate,Choice,Top,0,0
Cody,9/27/19,3,8,Neonate,Choice,Top,0,0
Cody,9/27/19,3,9,Neonate,Choice,Top,0,0
Cody,9/27/19,3,14,Neonate,Choice,Top,0,0
Cody,9/27/19,3,18,Neonate,Choice,Top,0,0
Ashley,7/21/2023,5,21,Neonate,Choice,Bottom,0,0
Ashley,7/21/2023,5,22,Neonate,Choice,Bottom,0,0
Ashley,7/21/2023,5,23,Neonate,Choice,Bottom,0,0
Ashley,7/21/2023,5,26,Neonate,Choice,Bottom,0,0
Ashley,7/21/2023,5,27,Neonate,Choice,Bottom,0,0
Ashley,7/21/2023,5,29,Neonate,Choice,Bottom,0,0
Ashley,7/26/2023,6,21,Neonate,Choice,Bottom,0.0000,0
Ashley,7/26/2023,6,23,Neonate,Choice,Bottom,0.0000,0
Ashley,7/26/2023,6,24,Neonate,Choice,Bottom,0.0000,0
Ashley,7/26/2023,6,25,Neonate,Choice,Bottom,0.0000,0
Ashley,7/26/2023,6,26,Neonate,Choice,Bottom,0.0000,0
Ashley,7/26/2023,6,28,Neonate,Choice,Bottom,0.0000,0
Kevin,9/27/19,4,1,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,2,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,4,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,7,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,8,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,10,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,11,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,13,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,15,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,17,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,18,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,19,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,20,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,4,21,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,1,1,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,1,6,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,1,8,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,1,15,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,1,17,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,1,20,Neonate,Choice,Bottom,0,0
Cody,9/27/19,3,5,Neonate,Choice,Bottom,0,0
Cody,9/27/19,3,13,Neonate,Choice,Bottom,0,0
Cody,9/27/19,3,15,Neonate,Choice,Bottom,0,0
Cody,9/27/19,3,16,Neonate,Choice,Bottom,0,0
Cody,9/27/19,3,20,Neonate,Choice,Bottom,0,0
Kevin,9/27/19,2,9,Neonate,Choice,Bottom,0.007,0
Kevin,9/27/19,2,7,Neonate,Choice,Top,0.01,0
Cody,9/27/19,3,7,Neonate,Choice,Top,0.01,0
Kevin,9/27/19,1,5,Neonate,Choice,Bottom,0.012,0
Kevin,9/27/19,1,18,Neonate,Choice,Bottom,0.013,0
Kevin,9/27/19,2,10,Neonate,Choice,Bottom,0.017,0.000100016
Kevin,9/27/19,2,8,Neonate,Choice,Bottom,0.019,0.000111783
Kevin,9/27/19,1,14,Neonate,Choice,Bottom,0.02,0.000117666
Kevin,9/27/19,1,2,Neonate,Choice,Bottom,0.021,0.000123549
Kevin,9/27/19,2,6,Neonate,Choice,Bottom,0.022,0.000129432
Kevin,9/27/19,2,1,Neonate,Choice,Top,0.029,0.000162977
Kevin,9/27/19,4,16,Neonate,Choice,Bottom,0.03,0.000176499
Cody,9/27/19,3,6,Neonate,Choice,Top,0.032,0.000179836
Kevin,9/27/19,1,19,Neonate,Choice,Bottom,0.04,0.000235332
Cody,9/27/19,3,10,Neonate,Choice,Bottom,0.04,0.000235332
Kevin,9/27/19,2,2,Neonate,Choice,Top,0.041,0.000230415
Kevin,9/27/19,1,11,Neonate,Choice,Bottom,0.041,0.000241215
Cody,9/27/19,3,18,Neonate,Choice,Bottom,0.041,0.000241215
Kevin,9/27/19,1,3,Neonate,Choice,Bottom,0.042,0.000247098
Kevin,9/27/19,1,16,Neonate,Choice,Bottom,0.046,0.000270631
Kevin,9/27/19,2,5,Neonate,Choice,Bottom,0.048,0.000282398
Kevin,9/27/19,1,12,Neonate,Choice,Bottom,0.059,0.000347114
Cody,9/27/19,3,6,Neonate,Choice,Bottom,0.07,0.00041183
Ashley,7/26/2023,6,26,Neonate,Choice,Top,0.071,0.000399011
Ashley,7/26/2023,6,22,Neonate,Choice,Bottom,0.0730,0.00042948
Kevin,9/27/19,1,12,Neonate,Choice,Top,0.076,0.000427111
Kevin,9/27/19,2,4,Neonate,Choice,Top,0.083,0.00046645
Cody,9/27/19,3,11,Neonate,Choice,Bottom,0.083,0.000488313
Ashley,7/26/2023,6,21,Neonate,Choice,Top,0.083,0.00046645
Ashley,7/26/2023,6,27,Neonate,Choice,Bottom,0.0840,0.000494197
Kevin,9/27/19,4,12,Neonate,Choice,Bottom,0.09,0.000529496
Kevin,9/27/19,4,3,Neonate,Choice,Bottom,0.104,0.000611862
Kevin,9/27/19,4,12,Neonate,Choice,Top,0.105,0.000590087
Kevin,9/27/19,4,5,Neonate,Choice,Bottom,0.105,0.000617746
Ashley,7/26/2023,6,28,Neonate,Choice,Top,0.112,0.000629426
Cody,9/27/19,3,7,Neonate,Choice,Bottom,0.119,0.000700112
Cody,9/27/19,3,12,Neonate,Choice,Top,0.12,0.000674386
Kevin,9/27/19,1,10,Neonate,Choice,Bottom,0.143,0.000841311
Kevin,9/27/19,4,15,Neonate,Choice,Top,0.144,0.000809263
Kevin,9/27/19,1,10,Neonate,Choice,Top,0.152,0.000854222
Ashley,7/26/2023,6,25,Neonate,Choice,Top,0.16,0.000899181
Cody,9/27/19,3,17,Neonate,Choice,Bottom,0.165,0.000970743
Ashley,7/26/2023,6,23,Neonate,Choice,Top,0.17,0.000955379
