SiteBlock,Site,Block,BlockB,Start,Month,Date,PlantID,Leaf,Replicate,Force,Thickness,Length,Width
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,26,Bottom,1,0.75,0.683,198,118
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,28,Bottom,1,0.63,0.78,210,99
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,30,Bottom,1,1.29,0.304,175,90
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,26,Bottom,2,0.81,0.318,210,125
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,28,Bottom,2,0.78,0.452,210,103
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,30,Bottom,2,1.25,0.734,133,95
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,26,Top,1,0.64,0.319,85,30
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,28,Top,1,0.68,0.352,99,38
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,30,Top,1,0.59,0.448,135,48
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,26,Top,2,0.8,0.566,117,59
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,28,Top,2,0.62,0.309,74,23
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,30,Top,2,0.88,0.546,155,60
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,2,Bottom,1,0.68,0.42,147,81
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,4,Bottom,1,0.89,0.38,78,67
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,6,Bottom,1,0.45,0.248,175,86
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,2,Bottom,2,1.12,0.75,197,109
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,4,Bottom,2,0.93,0.681,99,74
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,6,Bottom,2,0.64,0.518,180,96
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,2,Top,1,0.33,0.468,91,34
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,4,Top,1,0.55,0.468,72,28
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,6,Top,1,0.45,0.304,80,33
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,2,Top,2,0.44,0.355,104,39
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,4,Top,2,0.49,0.506,90,32
MDM1,MDM,1,a,6/14/2024,June,6/14/2024,6,Top,2,0.39,0.235,84,34
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,26,Bottom,1,1.62,0.323,216,120
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,28,Bottom,1,1.18,0.54,192,126
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,30,Bottom,1,0.6,0.249,215,117
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,26,Bottom,2,0.82,0.319,217,128
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,28,Bottom,2,1.12,0.299,233,143
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,30,Bottom,2,1.2,0.239,213,118
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,26,Top,1,0.57,0.43,113,44
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,28,Top,1,0.51,0.432,103,39
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,30,Top,1,0.92,0.449,144,54
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,26,Top,2,0.62,0.475,109,45
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,28,Top,2,0.52,0.36,122,43
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,30,Top,2,0.75,0.382,120,49
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,2,Bottom,1,0.72,0.232,207,91
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,4,Bottom,1,0.66,0.33,125,65
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,6,Bottom,1,0.68,0.268,133,82
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,2,Bottom,2,0.7,0.234,192,87
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,4,Bottom,2,0.88,0.412,174,63
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,6,Bottom,2,0.75,0.324,132,74
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,2,Top,1,0.72,0.48,174,68
MDM2,MDM,2,a,6/21/2024,June,6/21/2024,4,Top,1,0.76,0.294,157,72
