DataCollector,Date,Trial,ID,Treatment,Instar Before,MassChange,BiomassConsumed
Ashley,6/29/2023,5,10,New,3,0.0019,0.000300158
Ashley,6/29/2023,5,1,New,3,0.0032,0.001273012
Ashley,6/29/2023,5,3,New,3,0.0147,0.003273519
Ashley,6/29/2023,5,5,New,3,0.0149,0.003743924
Ashley,6/29/2023,5,4,New,3,0.0133,0.003927752
Ashley,6/29/2023,5,9,New,3,0.0193,0.007045784
Ashley,6/29/2023,5,6,New,4,0.0348,0.00743882
Ashley,6/29/2023,5,2,New,3,0.0349,0.009007865
Ashley,6/29/2023,5,8,New,3,0.0084,0.010242905
Ashley,6/29/2023,5,7,New,4,0.1314,0.052274534
Ashley,6/29/2023,5,12,Old,3,0,0.001553746
Ashley,6/29/2023,5,16,Old,3,0.0028,0.00222316
Ashley,6/29/2023,5,11,Old,3,0.0091,0.002684269
Ashley,6/29/2023,5,13,Old,3,0.0283,0.003770941
Ashley,6/29/2023,5,14,Old,3,0.0029,0.004092739
Ashley,6/29/2023,5,20,Old,3,0.0027,0.004139187
Ashley,6/29/2023,5,18,Old,3,0.002,0.004139409
Ashley,6/29/2023,5,19,Old,3,0.0066,0.00481833
Ashley,6/29/2023,5,15,Old,4,0.0544,0.031824488
Kira,8/23/2023,4,32,New,3,0.0075,0.000617169
Kira,8/23/2023,4,39,New,3,0.0051,0.002221664
Kira,8/23/2023,4,42,New,3,0.0065,0.002605362
Kira,8/23/2023,4,36,New,3,0.0054,0.002991742
Kira,8/23/2023,4,29,New,3,0.0067,0.005832106
Kira,8/23/2023,4,40,New,3,0.0273,0.005866842
Kira,8/23/2023,4,50,New,3,0.0023,0.005940042
Kira,8/23/2023,4,47,New,3,0.0014,0.00616785
Kira,8/23/2023,4,37,New,3,0.0364,0.006854489
Kira,8/23/2023,4,48,New,3,0.0086,0.008060333
Kira,8/23/2023,4,35,New,3,0.0131,0.009211895
Kira,8/23/2023,4,43,New,3,0.0207,0.009504031
Kira,8/23/2023,4,34,New,3,0.0122,0.010288445
Kira,8/23/2023,4,38,New,3,0.0428,0.010797937
Kira,8/23/2023,4,46,New,3,0.0291,0.011375891
Kira,8/23/2023,4,33,New,3,0.0354,0.012405001
Kira,8/23/2023,4,55,New,3,0.0047,0.013834406
Kira,8/23/2023,4,30,New,3,0.0454,0.014883392
Kira,8/23/2023,4,54,New,3,0.0076,0.018551402
Kira,8/23/2023,4,44,New,3,0.0142,0.019063847
Kira,8/23/2023,4,49,New,3,0.0508,0.019831218
Kira,8/23/2023,4,53,New,3,0.0253,0.039376443
Kira,8/23/2023,4,14,Old,3,0.0033,0.000860804
Kira,8/23/2023,4,25,Old,3,0.008,0.003602567
Kira,8/23/2023,4,15,Old,3,0.0118,0.004505854
Kira,8/23/2023,4,28,Old,3,0.0157,0.009092175
Kira,8/23/2023,4,6,Old,3,0.0004,0.010456946
Kira,8/23/2023,4,20,Old,3,0.0355,0.010962113
Kira,8/23/2023,4,16,Old,3,0.0097,0.011129534
Kira,8/23/2023,4,13,Old,3,0.0136,0.011901686
Kira,8/23/2023,4,10,Old,3,0.0017,0.012214093
Kira,8/23/2023,4,17,Old,3,0.0269,0.012738511
Kira,8/23/2023,4,8,Old,3,0.0144,0.014177822
Kira,8/23/2023,4,4,Old,3,0.0077,0.015038274
Kira,8/23/2023,4,22,Old,3,0.0292,0.015578451
Kira,8/23/2023,4,7,Old,3,0.0011,0.015660189
Kira,8/23/2023,4,21,Old,3,0.0179,0.017225399
Kira,8/23/2023,4,5,Old,3,0.0252,0.019749187
Kira,8/23/2023,4,1,Old,3,0.0069,0.020489363
Sami,8/25/2019,1,6,New,3,0.0013,0.002902967
Sami,8/25/2019,1,4,New,3,0.0122,0.006150759
Sami,8/25/2019,1,17,New,3,0.0352,0.008960291
Sami,8/25/2019,1,5,New,3,0.0273,0.012235275
Sami,8/25/2019,1,10,New,3,0.0291,0.012239345
Sami,8/25/2019,1,18,New,3,0.0264,0.012452967
Sami,8/25/2019,1,2,New,3,0.0214,0.012769847
Sami,8/25/2019,1,13,New,3,0.0344,0.013682454
Sami,8/25/2019,1,14,New,3,0.0142,0.013863539
Sami,8/25/2019,1,3,New,3,0.0398,0.014131686
Sami,8/25/2019,1,12,New,3,0.0313,0.014159819
Sami,8/25/2019,1,9,New,3,0.0356,0.014425621
Sami,8/25/2019,1,8,New,3,0.0316,0.015150994
Sami,8/25/2019,1,15,New,3,0.0423,0.015581311
Sami,8/25/2019,1,19,New,3,0.0412,0.016351087
Sami,8/25/2019,1,20,New,3,0.0294,0.016845215
Sami,8/25/2019,1,7,New,3,0.0326,0.016909214
Sami,8/25/2019,1,16,New,3,0.0285,0.018448926
Sami,8/25/2019,1,11,New,3,0.043,0.021437459
Sami,8/25/2019,1,1,New,3,0.0622,0.023
Sami,8/25/2019,1,21,New,3,0.0524,0.024000898
Sami,8/25/2019,1,4,Old,3,0.0239,0.007514091
Sami,8/25/2019,1,10,Old,3,0.0134,0.008270417
Sami,8/25/2019,1,13,Old,3,0.0114,0.009129338
Sami,8/25/2019,1,19,Old,3,0.0175,0.010237856
Sami,8/25/2019,1,11,Old,3,0.0173,0.011506363
Sami,8/25/2019,1,9,Old,3,0.018,0.012069806
Sami,8/25/2019,1,8,Old,3,0.032,0.012830197
Sami,8/25/2019,1,2,Old,3,0.0226,0.013884866
Sami,8/25/2019,1,12,Old,3,0.0191,0.015630179
Sami,8/25/2019,1,14,Old,3,0.034,0.015729569
Sami,8/25/2019,1,6,Old,3,0.0275,0.016534537
Sami,8/25/2019,1,7,Old,3,0.0326,0.016901678
Sami,8/25/2019,1,15,Old,3,0.0266,0.017796989
Sami,8/25/2019,1,17,Old,3,0.0443,0.017891954
Sami,8/25/2019,1,21,Old,3,0.0218,0.018462508
